dd,mm,zz,pp,departamento,municipio,puesto,mujeres,hombres,total,mesas,comuna,direccion
01,001,06,02,ANTIOQUIA,MEDELLIN,I.E. HERNAN TORO AGUDELO,5957,4713,10670,28,03COMUNA 3 MANRIQUE,CRA 45 N° 72-80
01,001,06,03,ANTIOQUIA,MEDELLIN,I.E. PEDRO LUIS VILLA(PR),4044,3818,7862,21,03COMUNA 3 MANRIQUE,KR 41B # 66E-50
01,001,07,01,ANTIOQUIA,MEDELLIN,COL AGUSTINIANO DE SAN NICOLA,7646,6487,14133,37,04COMUNA 4 ARANJUEZ,KR 48 # 93-13
01,001,07,02,ANTIOQUIA,MEDELLIN,I.E. MONSEÑOR FCO. CRISTOBAL T,6916,5404,12320,33,04COMUNA 4 ARANJUEZ,CRA 50D N° 90-49
01,001,07,03,ANTIOQUIA,MEDELLIN,I.E. GILBERTO ALZATE AVENDAÑO,6590,5452,12042,32,04COMUNA 4 ARANJUEZ,CL 92 # 51A-100
01,001,07,04,ANTIOQUIA,MEDELLIN,I.E. CAMPO VALDES,4568,3640,8208,22,04COMUNA 4 ARANJUEZ,CL 83 # 47-33
01,001,07,05,ANTIOQUIA,MEDELLIN,I.E.SAN JUAN BOSCO,664,355,1019,3,04COMUNA 4 ARANJUEZ,Calle 82 N° 50C-10
01,001,08,01,ANTIOQUIA,MEDELLIN,I.E. ALFONSO MORA NARANJO,6090,5076,11166,30,04COMUNA 4 ARANJUEZ,KR 48A # 77-68
01,001,08,02,ANTIOQUIA,MEDELLIN,I.E. JOSE MARIA BRAVO MARQUEZ,3557,2843,6400,17,04COMUNA 4 ARANJUEZ,CL 70 # 47A-04
01,001,08,03,ANTIOQUIA,MEDELLIN,I.E. FRANCISCO MIRANDA,10595,8359,18954,50,04COMUNA 4 ARANJUEZ,KR 51C # 79-56
01,001,08,04,ANTIOQUIA,MEDELLIN,I.E. JAVIERA LONDOÑO,5398,5185,10583,28,04COMUNA 4 ARANJUEZ,CL 71 # 51D-26
01,001,08,05,ANTIOQUIA,MEDELLIN,I.E. EL BOSQUE,1170,984,2154,6,04COMUNA 4 ARANJUEZ,Cra 58 N° 85B-81
01,001,09,01,ANTIOQUIA,MEDELLIN,I.E. JULIO CESAR GARCIA,6811,5436,12247,32,05COMUNA 5 CASTILLA,CL 111A # 65-26
01,001,09,02,ANTIOQUIA,MEDELLIN,SEC. ESC. EDUARDO URIBE BOTER,6038,4828,10866,29,05COMUNA 5 CASTILLA,KR 74 # 112-30
01,001,09,03,ANTIOQUIA,MEDELLIN,I.E. PBRO. ANTONIO JOSE BERNAL,9996,9163,19159,50,05COMUNA 5 CASTILLA,CALLE 105A N°63A-200
01,001,09,04,ANTIOQUIA,MEDELLIN,I.E.SEBASTIAN DE BELALCAZAR,787,542,1329,4,05COMUNA 5 CASTILLA,Calle 103EE N° 63D 185
01,001,10,01,ANTIOQUIA,MEDELLIN,IE TRICENTENARIO,4161,3405,7566,20,05COMUNA 5 CASTILLA,CRA 63A No 94A-629
01,001,10,02,ANTIOQUIA,MEDELLIN,I.E. MARIA MONTESSORI,6202,4473,10675,28,05COMUNA 5 CASTILLA,KR 69A # 92C-87
01,001,10,03,ANTIOQUIA,MEDELLIN,INST. EDU REPUBLICA DE URUGUA,7201,5683,12884,34,05COMUNA 5 CASTILLA,CL 91A # 70A-123
01,001,10,04,ANTIOQUIA,MEDELLIN,I.E. MAESTRO ARENAS BETANCUR,7082,5985,13067,35,05COMUNA 5 CASTILLA,CL 98A # 65-120
01,001,10,05,ANTIOQUIA,MEDELLIN,I.E. DINAMARCA,968,777,1745,5,05COMUNA 5 CASTILLA,Calle 91 No 65-119
01,001,11,01,ANTIOQUIA,MEDELLIN,I.E. CIUDADELA LAS AMERICAS,5700,4319,10019,27,06COMUNA 6 DOCE DE OCTUBRE,CL 111 # 79-77
01,001,11,02,ANTIOQUIA,MEDELLIN,COL VIDA Y PAZ PROGRESAR UNID,4719,3719,8438,22,06COMUNA 6 DOCE DE OCTUBRE,KR 83A # 106 D 5
01,001,11,03,ANTIOQUIA,MEDELLIN,SEC. ESC. LEON DE GREIFF,4843,3411,8254,22,06COMUNA 6 DOCE DE OCTUBRE,CL 101CC # 82E-72
01,001,11,04,ANTIOQUIA,MEDELLIN,I.E. DOCE DE OCTUBRE,7760,6275,14035,37,06COMUNA 6 DOCE DE OCTUBRE,KR 77B # 103-05
01,001,11,05,ANTIOQUIA,MEDELLIN,SE. ESC. PEDREGAL,949,890,1839,5,06COMUNA 6 DOCE DE OCTUBRE,Calle 104 E N°74-109
01,001,11,06,ANTIOQUIA,MEDELLIN,I.E. EL TRIUNFO SANTA TERESA,452,329,781,3,06COMUNA 6 DOCE DE OCTUBRE,Calle104D N° 82GG-21
01,001,12,01,ANTIOQUIA,MEDELLIN,I.E.MAESTRO FERNANDO BOTERO,6878,5528,12406,33,06COMUNA 6 DOCE DE OCTUBRE,CL 104 # 72A-80
01,001,12,02,ANTIOQUIA,MEDELLIN,I.E.ALFREDO COCK ARANGO,6466,5136,11602,31,06COMUNA 6 DOCE DE OCTUBRE,KR 72 # 99-55
01,001,12,03,ANTIOQUIA,MEDELLIN,SEC.ESC.SAN MARTIN DE PORRES,3827,2833,6660,18,06COMUNA 6 DOCE DE OCTUBRE,KR 75A # 97-135
01,001,12,04,ANTIOQUIA,MEDELLIN,I.E. KENNEDY,7654,5369,13023,34,06COMUNA 6 DOCE DE OCTUBRE,KR 76 # 92-200
01,001,12,05,ANTIOQUIA,MEDELLIN,SEC.CONCENTRACION EDUC.KENNEDY,2904,2598,5502,15,06COMUNA 6 DOCE DE OCTUBRE,Cra 76A N°92-131
01,001,12,06,ANTIOQUIA,MEDELLIN,I.E.JORGE ELIECER GAITAN(PPAL),857,499,1356,4,06COMUNA 6 DOCE DE OCTUBRE,Calle 92 N° 83-41
01,001,12,07,ANTIOQUIA,MEDELLIN,I.E.LA ESPERANZA,785,515,1300,4,06COMUNA 6 DOCE DE OCTUBRE,Cra 73B N° 96-09
01,001,13,01,ANTIOQUIA,MEDELLIN,I.E. SAN VICENTE DE PAUL,6769,5433,12202,32,07COMUNA 7 ROBLEDO,KR 71A # 79D-01
01,001,13,02,ANTIOQUIA,MEDELLIN,SEC.ESC. EL DIAMANTE,6836,4855,11691,31,07COMUNA 7 ROBLEDO,CL 79A # 86-09
01,001,13,03,ANTIOQUIA,MEDELLIN,I.E.EL DIAMANTE (SEDE BTO),2469,2373,4842,13,07COMUNA 7 ROBLEDO,CARRERA 87 No. 79-05
01,001,13,04,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA VILLA DE LA C,8262,6282,14544,38,07COMUNA 7 ROBLEDO,CALLE 77A N°90D-35
01,001,13,05,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA SAN JOSE,1272,784,2056,6,07COMUNA 7 ROBLEDO,Calle 86 N° 92-60
01,001,13,06,ANTIOQUIA,MEDELLIN,TECNOLOGICO DE ANTIOQUIA,1925,1430,3355,9,07COMUNA 7 ROBLEDO,Calle 78B N° 72A.-220
01,001,14,01,ANTIOQUIA,MEDELLIN,I.E.MON. GERARDO VALENCIA CAN,1882,1322,3204,9,07COMUNA 7 ROBLEDO,CL 65 # 74 B - 273
01,001,14,02,ANTIOQUIA,MEDELLIN,I.E. JORGE ROBLEDO,8430,6741,15171,40,07COMUNA 7 ROBLEDO,CL 65 # 87-74
01,001,14,03,ANTIOQUIA,MEDELLIN,I.E.MARISCAL ROBLEDO,4134,4254,8388,22,07COMUNA 7 ROBLEDO,Calle 65 N° 84-87
01,001,14,04,ANTIOQUIA,MEDELLIN,SEC.ESC. SANTA MARGARITA,3791,2704,6495,17,07COMUNA 7 ROBLEDO,KR 105B # 62-68
01,001,14,05,ANTIOQUIA,MEDELLIN,COLEGIO FERRINI,1411,1065,2476,7,07COMUNA 7 ROBLEDO,Calle 76 N° 80-431
01,001,14,06,ANTIOQUIA,MEDELLIN,I.E.CAMILO MORA CARRASQUILLA,816,642,1458,4,07COMUNA 7 ROBLEDO,Calle 62D N°94B-74
01,001,15,01,ANTIOQUIA,MEDELLIN,I.E. JUAN DE DIOS CARVAJAL,5764,4994,10758,29,08COMUNA 8 VILLA HERMOSA,CL 65AA # 36-39
01,001,15,02,ANTIOQUIA,MEDELLIN,I.E. JUAN DE LA CRUZ POSADA,2622,2031,4653,13,08COMUNA 8 VILLA HERMOSA,CL 62 # 39-22
01,001,15,03,ANTIOQUIA,MEDELLIN,I.E.JOSE CELESTINO MUTIS,1135,911,2046,6,08COMUNA 8 VILLA HERMOSA,CALLE 65 No. 45-15
01,001,15,04,ANTIOQUIA,MEDELLIN,INST.METROPOLITANO (I.T.M),268,263,531,2,08COMUNA 8 VILLA HERMOSA,CALLE 54A No. 30-01
01,001,15,05,ANTIOQUIA,MEDELLIN,SEC.ESC.JULIA AGUDELO,13535,10196,23731,62,08COMUNA 8 VILLA HERMOSA,CL 58 # 28-58
01,001,15,06,ANTIOQUIA,MEDELLIN,SEC.ESC.NIÑO JESUS DE PRAGA,822,548,1370,4,08COMUNA 8 VILLA HERMOSA,CALLE 57C No. 23-200
01,001,15,07,ANTIOQUIA,MEDELLIN,I.E.SOL DEL ORIENTE,827,589,1416,4,08COMUNA 8 VILLA HERMOSA,CARRERA 23 No. 56EH - 200
01,001,16,01,ANTIOQUIA,MEDELLIN,I.E. VILLA TURBAY,2261,1636,3897,11,08COMUNA 8 VILLA HERMOSA,KR 2 # 55F-17
01,001,16,02,ANTIOQUIA,MEDELLIN,SEC.ESCUELA LAS ESTANCIAS,1738,1318,3056,8,08COMUNA 8 VILLA HERMOSA,CL 52 # 4-38
01,001,16,03,ANTIOQUIA,MEDELLIN,SEC.ESC.SOR MARIA LUISA COURB,4766,3535,8301,22,08COMUNA 8 VILLA HERMOSA,KR 12 # 52-44
01,001,16,04,ANTIOQUIA,MEDELLIN,I.E. SAN FRANCISCO DE ASIS,3538,2852,6390,17,08COMUNA 8 VILLA HERMOSA,CL 56 # 16-18
01,001,16,05,ANTIOQUIA,MEDELLIN,ESC. REPUBLICA DEL PERU,3169,2613,5782,16,08COMUNA 8 VILLA HERMOSA,CL 52 # 23-114
01,001,17,01,ANTIOQUIA,MEDELLIN,I.E.GUADALUPANO LA SALLE,5899,4692,10591,28,09COMUNA 9 BUENOS AIRES,CALLE 49 No. 17 B 21
01,001,17,02,ANTIOQUIA,MEDELLIN,I.E. MERCEDITAS GOMEZ MARTINE,5408,3950,9358,25,09COMUNA 9 BUENOS AIRES,CL 45 # 18-03
01,001,17,03,ANTIOQUIA,MEDELLIN,I.E. MANUEL JOSE CAICEDO,4202,3492,7694,21,09COMUNA 9 BUENOS AIRES,CL 50 # 29-80
01,001,17,04,ANTIOQUIA,MEDELLIN,I.E. LA MILAGROSA,11810,9245,21055,55,09COMUNA 9 BUENOS AIRES,KR 29 # 41-14
01,001,18,01,ANTIOQUIA,MEDELLIN,I.E. LORETO GABRIELA GOMEZ CA,3396,2807,6203,17,09COMUNA 9 BUENOS AIRES,KR 32 # 34-06
01,001,18,02,ANTIOQUIA,MEDELLIN,INST.EDUCATIVA FEDERICO OZANA,8457,7380,15837,42,09COMUNA 9 BUENOS AIRES,CL 47 # 35-19
01,001,18,03,ANTIOQUIA,MEDELLIN,ESCUELA NORMAL SUPERIOR ANT.,3913,2999,6912,18,09COMUNA 9 BUENOS AIRES,KR 36A # 48-55
01,001,18,04,ANTIOQUIA,MEDELLIN,SEC. ESC. JOSE DE SAN MARTIN,5378,4304,9682,26,09COMUNA 9 BUENOS AIRES,CL 39 # 38- 21
01,001,19,01,ANTIOQUIA,MEDELLIN,I.E. TULIO OSPINA,7731,7423,15154,40,10COMUNA 10 LA CANDELARIA,KR 51 D # 60-38
01,001,19,02,ANTIOQUIA,MEDELLIN,SEC.ESC.AGUSTIN NIETO CABALLE,1654,1293,2947,8,10COMUNA 10 LA CANDELARIA,KR 40 # 59A-21
01,001,19,03,ANTIOQUIA,MEDELLIN,COLEGIO SALESIANO EL SUFRAGIO,10129,8476,18605,49,10COMUNA 10 LA CANDELARIA,KR 39 # 54-31
01,001,19,04,ANTIOQUIA,MEDELLIN,I.E. CEFA,9242,5133,14375,38,10COMUNA 10 LA CANDELARIA,CL 50 # 41-55
01,001,19,05,ANTIOQUIA,MEDELLIN,I.E. HECTOR ABAD GOMEZ,2362,6033,8395,22,10COMUNA 10 LA CANDELARIA,CL 50 #39-65
01,001,20,01,ANTIOQUIA,MEDELLIN,CENTRO COMERCIAL SAN DIEGO,11216,9215,20431,54,10COMUNA 10 LA CANDELARIA,CL 34 # 43-66
01,001,20,02,ANTIOQUIA,MEDELLIN,ALCALDIA MUNICIPAL (SOTANO),6182,8278,14460,38,10COMUNA 10 LA CANDELARIA,CL 44 # 52-165
01,001,20,03,ANTIOQUIA,MEDELLIN,SENA,2594,3926,6520,17,10COMUNA 10 LA CANDELARIA,CL 51 # 57-70
01,001,21,01,ANTIOQUIA,MEDELLIN,INSTITUTO JORGE ROBLEDO,5001,4301,9302,25,11COMUNA 11 LAURELES,CL 51 # 65 - 72
01,001,21,02,ANTIOQUIA,MEDELLIN,INST.EDUC. MATER DEI,7625,5738,13363,35,11COMUNA 11 LAURELES,KR 68 # 42-70
01,001,21,03,ANTIOQUIA,MEDELLIN,I.E. MARCO FIDEL SUAREZ,6346,6532,12878,34,11COMUNA 11 LAURELES,KR 70 # 49-70
01,001,21,04,ANTIOQUIA,MEDELLIN,COLEGIO CALASANZ FEMENINO,2003,1497,3500,10,11COMUNA 11 LAURELES,CALLE 55 No 77-71
01,001,22,01,ANTIOQUIA,MEDELLIN,SEC.ESC. AGRUPACION COLOMBIA,7689,5837,13526,36,11COMUNA 11 LAURELES,CL 44A # 75-68
01,001,22,02,ANTIOQUIA,MEDELLIN,I.E. LUCRECIO JARAMILLO VELEZ,11859,8732,20591,54,11COMUNA 11 LAURELES,KR 79 # 38-59
01,001,22,03,ANTIOQUIA,MEDELLIN,COLEGIO BETLEHEMITAS,1321,858,2179,6,11COMUNA 11 LAURELES,TRANSVERSAL 36 No 72-93
01,001,22,04,ANTIOQUIA,MEDELLIN,COL.SAN IGNACIO (SEC.INFANTIL),700,696,1396,4,11COMUNA 11 LAURELES,CALLE 47D No. 75-83
01,001,23,01,ANTIOQUIA,MEDELLIN,SEC. ESC. SANTA LUCIA,7715,5689,13404,35,12COMUNA 12 LA AMERICA,KR 89A # 47DD-71
01,001,23,02,ANTIOQUIA,MEDELLIN,I.E. CONCEJO DE MEDELLIN,13264,10698,23962,63,12COMUNA 12 LA AMERICA,KR 82 # 47A-65
01,001,23,03,ANTIOQUIA,MEDELLIN,INST EDUC. LA PIEDAD,5783,4121,9904,26,12COMUNA 12 LA AMERICA,KR 81 NO 54 71
01,001,23,04,ANTIOQUIA,MEDELLIN,I.E.SANTA ROSA DE LIMA,612,455,1067,3,12COMUNA 12 LA AMERICA,CALLE 45G No. 80-95
01,001,24,01,ANTIOQUIA,MEDELLIN,I.E. RAFAEL URIBE URIBE,6380,4678,11058,29,12COMUNA 12 LA AMERICA,KR 82 # 42C-58
01,001,24,02,ANTIOQUIA,MEDELLIN,SEC.ESC.RAFAEL URIBE URIBE,2370,2267,4637,13,12COMUNA 12 LA AMERICA,CARRERA 83 No. 42C - 54
01,001,24,03,ANTIOQUIA,MEDELLIN,SEC. ESC. PEDRO DE CASTRO,9007,7149,16156,43,12COMUNA 12 LA AMERICA,CL 40 # 86A-101
01,001,24,04,ANTIOQUIA,MEDELLIN,I.E.FRANCISCO ANTONIO ZEA,1588,1203,2791,8,12COMUNA 12 LA AMERICA,KR 82 # 35-40
01,001,24,05,ANTIOQUIA,MEDELLIN,I.E AMERICA,683,489,1172,4,12COMUNA 12 LA AMERICA,CALLE 34 EE No. 91-20
01,001,24,06,ANTIOQUIA,MEDELLIN,I.E.SAMUEL BARRIENTOS,410,289,699,2,12COMUNA 12 LA AMERICA,CALLE 44 No. 94-119
01,001,25,01,ANTIOQUIA,MEDELLIN,I.E. BLANQUIZAL (EN ADMON) CR,2323,1759,4082,11,13COMUNA 13 SAN JAVIER,KR 92 DD # 57F - 43
01,001,25,02,ANTIOQUIA,MEDELLIN,SEC. ESC. REPUBLICA DE PANAMA,3484,2755,6239,17,13COMUNA 13 SAN JAVIER,KR 88 # 49DD-70
01,001,25,03,ANTIOQUIA,MEDELLIN,I.E JUAN XXIII,1041,804,1845,5,13COMUNA 13 SAN JAVIER,CALLE 49 No 96A-11
01,001,25,04,ANTIOQUIA,MEDELLIN,SEC. ESC. MONSEÑOR PERDOMO,8780,3836,12616,33,13COMUNA 13 SAN JAVIER,CL 44 # 97-14
01,001,25,05,ANTIOQUIA,MEDELLIN,SEC.ESC.PIO XII,3788,5765,9553,25,13COMUNA 13 SAN JAVIER,KR 98 # 44-52
01,001,25,06,ANTIOQUIA,MEDELLIN,I.E.STELLA VELEZ LONDOÑO,702,485,1187,4,13COMUNA 13 SAN JAVIER,CALLE 48DD No. 99D-118
01,001,26,01,ANTIOQUIA,MEDELLIN,I.E.LA INDEPENDENCIA,9097,6701,15798,42,13COMUNA 13 SAN JAVIER,CALLE 39D No. 112 - 81
01,001,26,02,ANTIOQUIA,MEDELLIN,SEC.ESC.EL SOCORRO,4974,4099,9073,24,13COMUNA 13 SAN JAVIER,CARRERA 102B No. 47B - 32
01,001,26,03,ANTIOQUIA,MEDELLIN,SEC.ESC.MIXTA BETANIA,5290,3792,9082,24,13COMUNA 13 SAN JAVIER,CRA 110 A  No. 34 A 82
01,001,26,04,ANTIOQUIA,MEDELLIN,I.E.EL CORAZON,777,579,1356,4,13COMUNA 13 SAN JAVIER,CARRERA 116F No. 34AA - 131
01,001,26,05,ANTIOQUIA,MEDELLIN,I.E.EDUARDO SANTOS,911,600,1511,4,13COMUNA 13 SAN JAVIER,CALLE 43 No. 120C - 77
01,001,26,06,ANTIOQUIA,MEDELLIN,I.E.CARLOS VIECO,1655,1133,2788,8,13COMUNA 13 SAN JAVIER,CALLE 40 No. 105 - 36
01,001,27,01,ANTIOQUIA,MEDELLIN,COL.SANTA MARIA DEL ROSARIO,4999,3858,8857,24,14COMUNA 14 EL POBLADO,CALLE 7B SUR No. 29C - 100
01,001,27,02,ANTIOQUIA,MEDELLIN,COL.MARYMOUNT,2403,1786,4189,11,14COMUNA 14 EL POBLADO,CALLE 7 No. 25-64
01,001,27,03,ANTIOQUIA,MEDELLIN,COLEGIO PALERMO DE SAN JOSE,8972,6643,15615,41,14COMUNA 14 EL POBLADO,CARRERA 42 No. 8 - 00
01,001,28,01,ANTIOQUIA,MEDELLIN,POLITECNICO JAIME ISAZA CADAVI,4594,4010,8604,23,14COMUNA 14 EL POBLADO,CARRERA 48 No. 7 - 151
01,001,28,02,ANTIOQUIA,MEDELLIN,I.E.INEM JOSE FELIX DE RESTREP,4649,7434,12083,32,14COMUNA 14 EL POBLADO,CARRERA 48 No. 1 - 125
01,001,28,03,ANTIOQUIA,MEDELLIN,UNIVERSIDAD EAFIT,12147,6792,18939,50,14COMUNA 14 EL POBLADO,KR 49 # 7 SUR 50
01,001,28,04,ANTIOQUIA,MEDELLIN,COL DE LA CIA DE MARIA LA ENSE,821,558,1379,4,,CALLE 9 SUR No 37-345
01,001,29,01,ANTIOQUIA,MEDELLIN,SEC.ESC.SANTISIMA TRINIDAD,3881,3091,6972,19,15COMUNA 15 GUAYABAL,CALLE 26 No. 65C - 100
01,001,29,02,ANTIOQUIA,MEDELLIN,I.E.BENJAMIN HERRERA,3808,3011,6819,18,15COMUNA 15 GUAYABAL,CL 25 # 52-140
01,001,29,03,ANTIOQUIA,MEDELLIN,I.E.CRISTO REY,7587,6280,13867,37,15COMUNA 15 GUAYABAL,CALLE 2 SUR No. 50D - 30
01,001,29,04,ANTIOQUIA,MEDELLIN,SECCION ESC REPUBLICA DE COSTA RICA,4793,3880,8673,23,15COMUNA 15 GUAYABAL,CARRERA 52 No 7 SUR -23
01,001,29,05,ANTIOQUIA,MEDELLIN,SEC.ESC.LA COLINA,2438,2042,4480,12,15COMUNA 15 GUAYABAL,KR 52C 12A SUR -23
01,001,29,06,ANTIOQUIA,MEDELLIN,I.E. LA SALLE CAMPO AMOR,1411,1060,2471,7,15COMUNA 15 GUAYABAL,CARRERA 65B No. 4 - 49
01,001,30,01,ANTIOQUIA,MEDELLIN,I.E. FATIMA NUTIBARA,5096,3947,9043,24,16COMUNA 16 BELEN,CARRERA 65A No. 32B - 120
01,001,30,02,ANTIOQUIA,MEDELLIN,ESC.SOFIA OSPINA DE NAVARRO,4335,3527,7862,21,16COMUNA 16 BELEN,CALLE 32 No. 65-20
01,001,30,03,ANTIOQUIA,MEDELLIN,I.E.JUAN MARIA CESPEDES,12210,9976,22186,58,16COMUNA 16 BELEN,CALLE 32B No. 76A - 48
01,001,30,04,ANTIOQUIA,MEDELLIN,I.E. GUILLERMO VALENCIA,4767,3725,8492,23,16COMUNA 16 BELEN,CALLE 23 No. 78 - 48
01,001,30,05,ANTIOQUIA,MEDELLIN,UNID.DEPORTIVA ANDRES ESCOBAR,762,645,1407,4,16COMUNA 16 BELEN,CARRERA 66 No. 31A - 15
01,001,30,06,ANTIOQUIA,MEDELLIN,LICEO SAN RAFAEL,2059,1526,3585,10,16COMUNA 16 BELEN,CALLE 30A No. 79 - 13
01,001,31,01,ANTIOQUIA,MEDELLIN,SEC.ESC.JACKELINE KENNEDY,3989,2873,6862,18,16COMUNA 16 BELEN,CL 17 # 73-37
01,001,31,02,ANTIOQUIA,MEDELLIN,I.E.JOSE MARIA BERNAL,5191,4085,9276,25,16COMUNA 16 BELEN,KR 70A # 13A-19
01,001,31,03,ANTIOQUIA,MEDELLIN,INST.SAN CARLOS DE LA SALLE,7307,5749,13056,34,16COMUNA 16 BELEN,DIAG. 79 # 15-123
01,001,31,04,ANTIOQUIA,MEDELLIN,I.E.ALCALDIA DE MEDELLIN,7752,6187,13939,37,16COMUNA 16 BELEN,CL 2B NO 79-80
01,001,31,05,ANTIOQUIA,MEDELLIN,COLEGIO PADRE MANYANET,1856,1413,3269,9,16COMUNA 16 BELEN,CARRERA 84F No. 8 - 29
01,001,31,06,ANTIOQUIA,MEDELLIN,I.E.CAMPILLAS DEL ROSARIO,818,554,1372,4,16COMUNA 16 BELEN,CALLE 6 SUR No. 79 - 195
01,001,32,01,ANTIOQUIA,MEDELLIN,I.E.RAMON GIRALDO CEBALLOS,7219,5498,12717,34,16COMUNA 16 BELEN,CL 21 NO 82A 56
01,001,32,02,ANTIOQUIA,MEDELLIN,UNIVERSIDAD DE MEDELLIN,8975,7740,16715,44,16COMUNA 16 BELEN,KR 87 # 30-65
01,001,32,03,ANTIOQUIA,MEDELLIN,I.E HORACIO MUÑOZ SUESCUN,5332,4355,9687,26,16COMUNA 16 BELEN,CL 32 # 86-35
01,001,32,04,ANTIOQUIA,MEDELLIN,I.E.REPUBLICA DE VENEZUELA,4608,3775,8383,22,16COMUNA 16 BELEN,CL 31C # 89C-62
01,001,32,05,ANTIOQUIA,MEDELLIN,I.E.ROBERTO BELARMINO,605,493,1098,3,16COMUNA 16 BELEN,CALLE 32B No. 83 - 39
01,001,90,01,ANTIOQUIA,MEDELLIN,ESTADIO ATANASIO GIRARDOT,32,63066,63098,80,,CL 48 # 73 - 10
01,001,90,02,ANTIOQUIA,MEDELLIN,PLAZA MAYOR CTRO EXPOS. CONVEN,63522,6,63528,81,,CL 41 # 55 - 35
01,001,98,01,ANTIOQUIA,MEDELLIN,RECLU. DE MUJERES PEDREGAL ME,95,64,159,1,,KM 6 VIA AL MAR FINCA LA TERES
01,001,98,02,ANTIOQUIA,MEDELLIN,ESTAB. CARCELARIO PEDREGAL ME,15,89,104,1,,KM 6 VIA AL MAR FINCA LA TERES
